14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15
445,449,443,446,426,432,445,446,453,457,438,442,455,455,515,619,473,478,468,470,465,472,462,464
367,367,459,459,394,400,437,441,413,416,315,321,359,359,798,798,798,798,468,468,439,436,422,422
468,470,466,466,470,485,472,472,483,483,473,473,798,798,798,798,456,463,485,485,798,798,480,481
319,390,271,271,798,798,369,417,361,798,256,256,253,253,798,798,798,798,798,798,312,312,798,798
14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15
540,553,394,421,369,398,390,390,798,798,380,380,388,396,392,412,798,798,798,798,798,798,798,798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15
515,798,493,500,493,493,477,505,635,798,484,487,492,496,493,536,487,502,484,487,486,493,798,798
484,798,798,798,483,798,457,556,461,798,530,798,547,798,798,798,798,798,798,798,584,798,798,798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,261,261,229,229,547,547,295,295,798,798,452,452,316,316,79,798,798,798,798,798,798,798
798,798,417,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,368,798,798,424,798,433,503,427,429,443,454,798,798,798,798,565,798,432,798,429,429,798,798
436,436,798,798,798,798,461,462,445,447,454,457,539,798,798,798,502,502,515,798,798,798,798,798
421,798,387,387,387,420,379,379,388,508,389,393,385,385,402,505,457,457,499,798,463,463,422,422
368,368,798,798,409,409,405,406,413,434,392,395,798,798,427,427,798,798,427,427,419,420,411,416
390,798,365,384,335,349,282,314,798,798,285,285,299,299,411,411,798,798,798,798,405,798,356,356
367,798,396,413,357,798,332,332,330,330,266,323,243,798,798,798,798,798,385,491,349,798,340,358
323,323,237,237,284,284,327,798,309,309,14,15,446,446,14,15,798,798,189,189,14,15,798,798
798,798,798,798,798,798,600,798,625,798,622,798,798,798,798,798,798,798,798,798,798,798,798,798
280,280,294,294,232,232,361,361,368,798,194,287,226,309,307,377,14,15,14,15,14,15,337,337
415,798,412,423,388,392,407,798,457,469,331,366,321,322,461,798,443,457,329,335,304,304,294,320
222,222,798,798,798,798,798,798,798,798,798,798,798,798,513,798,798,798,798,798,798,798,798,798
361,361,798,798,798,798,380,798,798,798,348,798,331,338,798,798,798,798,798,798,798,798,798,798
